decimalLatitude,decimalLongitude,Year,SPRING,SUMMER,SUMMER_before,SPRING_temp,SUMMER_temp,SUMMER_before_temp
51.2331,-1.2109,1909,SEASON_1909-04-16,SEASON_1909-07-16,SEASON_1908-07-16,7.362387129828249,14.120297316867681,15.022709453659882
50.5935,-3.6726,1931,SEASON_1931-04-16,SEASON_1931-07-16,SEASON_1930-07-16,7.7711233345553525,14.674653110547279,15.404238036747872
50.572,-3.9211,1903,SEASON_1903-04-16,SEASON_1903-07-16,SEASON_1902-07-16,7.498949779003719,13.140887383836208,13.414127996546904
51.2322,-0.3324,1945,SEASON_1945-04-16,SEASON_1945-07-16,SEASON_1944-07-16,10.053789901199451,15.57305346350818,15.876446902058731
50.8839,-0.3867,1930,SEASON_1930-04-16,SEASON_1930-07-16,SEASON_1929-07-16,8.488765243838793,16.001729080312494,15.432148349312872
50.8342,-0.2716,1939,SEASON_1939-04-16,SEASON_1939-07-16,SEASON_1938-07-16,8.809949615357162,15.734242208660321,15.602240943270413
50.8765,-1.6315,1939,SEASON_1939-04-16,SEASON_1939-07-16,SEASON_1938-07-16,9.186740373159095,15.734058519777848,15.847277137686449
50.8765,-1.6315,1951,SEASON_1951-04-16,SEASON_1951-07-16,SEASON_1950-07-16,7.907613348842603,15.795483611586057,16.49790416119745
50.8449,-1.7888,1894,SEASON_1894-04-16,SEASON_1894-07-16,SEASON_1893-07-16,9.13182621576776,15.098040336565518,16.76393170014433
50.6807,-1.5232,1935,SEASON_1935-04-16,SEASON_1935-07-16,SEASON_1934-07-16,8.729240894499252,16.56464325918099,16.619263116815517
50.768,0.2905,1922,SEASON_1922-04-16,SEASON_1922-07-16,SEASON_1921-07-16,8.125688174087843,14.310595227689834,16.44883701844312
50.7192,-1.8808,1891,SEASON_1891-04-16,SEASON_1891-07-16,SEASON_1890-07-16,7.41255623361982,15.529650587260138,15.199484187188437
51.3509,0.8194,1927,SEASON_1927-04-16,SEASON_1927-07-16,SEASON_1926-07-16,9.235739882694785,15.120093500379554,15.754592470097318
50.8765,-1.6315,1904,SEASON_1904-04-16,SEASON_1904-07-16,SEASON_1903-07-16,8.826591823228561,16.13756273348381,15.029469285947942
53.2953,-3.8711,1943,SEASON_1943-04-16,SEASON_1943-07-16,SEASON_1942-07-16,7.901293655706838,13.552244615677704,13.48830750661638
50.5219,-4.8234,1908,SEASON_1908-04-16,SEASON_1908-07-16,SEASON_1907-07-16,8.270673067120638,14.868945903568902,14.000372571287487
50.964,-0.5304,1929,SEASON_1929-04-16,SEASON_1929-07-16,SEASON_1928-07-16,8.131456455778459,15.432148349312872,15.686403899373607
51.0814,1.1695,1925,SEASON_1925-04-16,SEASON_1925-07-16,SEASON_1924-07-16,7.975892032087312,15.775142891212482,14.68754051266725
51.8469,-2.6854,1917,SEASON_1917-04-16,SEASON_1917-07-16,SEASON_1916-07-16,7.380225729962328,15.178028606389116,14.454455955857497
51.3695,-0.3659,1948,SEASON_1948-04-16,SEASON_1948-07-16,SEASON_1947-07-16,10.129812912855106,15.50812141154408,18.005449261812746
50.768,0.2905,1905,SEASON_1905-04-16,SEASON_1905-07-16,SEASON_1904-07-16,8.501218432991944,15.729727681699606,15.4437895380092
51.2207,-0.4651,1951,SEASON_1951-04-16,SEASON_1951-07-16,SEASON_1950-07-16,7.255647551114005,15.085894312035782,16.070072244131836
50.8739,0.0088,1919,SEASON_1919-04-16,SEASON_1919-07-16,SEASON_1918-07-16,8.277589148721306,14.874259209264489,15.193543211237754
50.5672,-2.446,1971,SEASON_1971-04-16,SEASON_1971-07-16,SEASON_1970-07-16,7.76198224235466,14.951427030782185,15.096452761067765
