VCNUMBER,VCNAME,MidDate,Year,Month,Mid,MeanTemp,Season
78,Peeblesshire,1932-01-16,1932,1,16,3.481874704360962,Winter
78,Peeblesshire,1932-04-16,1932,4,16,4.713839530944824,Spring
78,Peeblesshire,1932-07-16,1932,7,16,12.373658180236816,Summer
78,Peeblesshire,1932-10-16,1932,10,16,6.312028884887695,Autumn
78,Peeblesshire,1933-01-16,1933,1,16,1.939544439315796,Winter
78,Peeblesshire,1933-04-16,1933,4,16,6.708076477050781,Spring
78,Peeblesshire,1933-07-16,1933,7,16,13.855125427246094,Summer
78,Peeblesshire,1933-10-16,1933,10,16,7.505450248718262,Autumn
78,Peeblesshire,1934-01-16,1934,1,16,2.6697568893432617,Winter
78,Peeblesshire,1934-04-16,1934,4,16,5.032225608825684,Spring
78,Peeblesshire,1934-07-16,1934,7,16,12.78835678100586,Summer
78,Peeblesshire,1934-10-16,1934,10,16,7.382066249847412,Autumn
78,Peeblesshire,1935-01-16,1935,1,16,3.5172884464263916,Winter
78,Peeblesshire,1935-04-16,1935,4,16,5.517838954925537,Spring
78,Peeblesshire,1935-07-16,1935,7,16,12.738075256347656,Summer
78,Peeblesshire,1935-10-16,1935,10,16,6.766040802001953,Autumn
78,Peeblesshire,1936-01-16,1936,1,16,0.3113608956336975,Winter
78,Peeblesshire,1936-04-16,1936,4,16,5.472401142120361,Spring
78,Peeblesshire,1936-07-16,1936,7,16,12.59507942199707,Summer
78,Peeblesshire,1936-10-16,1936,10,16,7.190825462341309,Autumn
78,Peeblesshire,1937-01-16,1937,1,16,2.5505032539367676,Winter
78,Peeblesshire,1937-04-16,1937,4,16,5.236937522888184,Spring
78,Peeblesshire,1937-07-16,1937,7,16,12.405827522277832,Summer
78,Peeblesshire,1937-10-16,1937,10,16,6.9725847244262695,Autumn
78,Peeblesshire,1938-01-16,1938,1,16,1.9636342525482178,Winter
78,Peeblesshire,1938-04-16,1938,4,16,6.627819061279297,Spring
78,Peeblesshire,1938-07-16,1938,7,16,11.750978469848633,Summer
78,Peeblesshire,1938-10-16,1938,10,16,8.166388511657715,Autumn
78,Peeblesshire,1939-01-16,1939,1,16,2.0905418395996094,Winter
78,Peeblesshire,1939-04-16,1939,4,16,5.96965217590332,Spring
78,Peeblesshire,1939-07-16,1939,7,16,12.527060508728027,Summer
78,Peeblesshire,1939-10-16,1939,10,16,7.220367431640625,Autumn
78,Peeblesshire,1940-01-16,1940,1,16,-0.40922310948371887,Winter
78,Peeblesshire,1940-04-16,1940,4,16,5.91958475112915,Spring
78,Peeblesshire,1940-07-16,1940,7,16,12.451208114624023,Summer
78,Peeblesshire,1940-10-16,1940,10,16,6.685298442840576,Autumn
78,Peeblesshire,1941-01-16,1941,1,16,-0.16738557815551758,Winter
78,Peeblesshire,1941-04-16,1941,4,16,4.072002410888672,Spring
