Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length
38,Thymelicus sylvestris,Berkshire,VC,7,1914,male,12.557,60.055,2.045,5.804
27,Erynnis tages,Buckinghamshire,VC,5,1915,NA,12.743,60.927,2.102,4.372
37,Pyrgus malvae,Somerset,UA,NA,1915,NA,11.148,49.444,2.254,4.563
44,Pyrgus malvae,Somerset,UA,NA,1915,NA,11.079,49.285,2.218,5.039
51,Pyrgus malvae,Somerset,UA,NA,1915,NA,10.963,46.164,1.963,4.345
55,Pyrgus malvae,Hampshire,UA,5,1915,NA,11.289,51.097,2.293,5.632
65,Pyrgus malvae,Hampshire,UA,5,1915,NA,11.178,47.559,2.154,4.455
14,Erynnis tages,Staffordshire,VC,6,1917,NA,11.814,55.989,2.151,5.715
9,Hesperia comma,Hertfordshire,VC,8,1917,female,15.361,76.39,4.266,7.047
56,Thymelicus sylvestris,Buckinghamshire,VC,8,1917,female,12.974,59.436,2.148,6.587
12,Erynnis tages,Surrey,VC,5,1918,NA,11.674,58.974,2.031,5.215
18,Erynnis tages,Surrey,VC,6,1918,NA,12.346,59.002,2.169,5.164
34,Pyrgus malvae,Devon,UA,5,1918,NA,11.201,51.039,2.218,5.254
35,Pyrgus malvae,Devon,UA,5,1918,NA,10.621,45.187,2.092,4.726
52,Pyrgus malvae,Worcestershire,VC,5,1918,NA,10.954,50.127,2.109,4.89
53,Thymelicus sylvestris,Buckinghamshire,VC,7,1918,male,12.259,57.051,2.604,5.451
54,Thymelicus sylvestris,Buckinghamshire,VC,7,1918,male,12.48,60.46,2.378,6.63
55,Thymelicus sylvestris,Buckinghamshire,VC,7,1918,male,13.133,62.456,2.336,6.298
57,Thymelicus sylvestris,Buckinghamshire,VC,7,1918,female,13.584,67.861,2.622,6.277
58,Thymelicus sylvestris,Buckinghamshire,VC,7,1918,female,13.327,65.778,2.932,6.528
20,Erynnis tages,Kent,UA,5,1919,NA,10.678,48.287,2.479,4.511
42,Pyrgus malvae,Devon,UA,5,1919,NA,11.155,50.922,2.273,4.763
49,Pyrgus malvae,Devon,UA,5,1919,NA,11.303,48.408,2.018,4.817
63,Pyrgus malvae,Berkshire,VC,6,1920,NA,11.19,45.002,2.092,4.586
39,Hesperia comma,Hertfordshire,VC,8,1920,male,12.779,60.164,2.387,5.151
40,Hesperia comma,Hertfordshire,VC,8,1920,male,12.76,60.858,2.067,5.318
48,Hesperia comma,Hertfordshire,VC,8,1920,male,11.972,51.154,2.182,6.013
49,Hesperia comma,Hertfordshire,VC,8,1920,male,11.944,60.428,2.762,5.412
34,Erynnis tages,Middlesex,VC,4,1921,NA,12.529,56.341,2.169,4.734
7,Pyrgus malvae,Somerset,UA,5,1921,NA,10.203,42.606,1.84,5.502
19,Pyrgus malvae,Somerset,UA,5,1922,NA,11.488,49.569,2.041,4.5
2,Erynnis tages,Dorset,VC,6,1923,NA,11.275,52.198,1.997,4.234
5,Erynnis tages,Dorset,VC,6,1923,NA,12.33,62.562,1.911,5.426
89,Pyrgus malvae,Hampshire,UA,5,1923,NA,11.639,50.668,1.885,4.691
92,Pyrgus malvae,Hampshire,UA,5,1923,NA,10.438,44.257,2.215,4.574
52,Thymelicus sylvestris,Surrey,VC,8,1923,male,12.504,59.963,2.25,6.008
93,Pyrgus malvae,Hampshire,UA,5,1924,NA,11.12,45.251,2.46,4.755
62,Thymelicus sylvestris,Oxfordshire,VC,4,1924,male,13.34,64.772,2.202,6.936
99,Hesperia comma,Berkshire,VC,8,1929,male,13.655,59.458,2.237,5.835
100,Hesperia comma,Berkshire,VC,8,1929,female,13.969,68.338,3.161,6.095
98,Pyrgus malvae,Cambridgeshire,VC,5,1930,NA,11.526,48.002,2.131,4.233
102,Pyrgus malvae,Cambridgeshire,VC,6,1930,NA,12.001,53.012,2.641,4.771
106,Pyrgus malvae,Cambridgeshire,VC,5,1930,NA,11.238,49.043,1.984,4.82
65,Thymelicus sylvestris,Surrey,VC,7,1930,female,13.52,60.591,2.243,5.029
66,Thymelicus sylvestris,Surrey,VC,7,1930,male,13.494,64.125,1.991,6.16
82,Hesperia comma,Hampshire,UA,8,1936,female,14.774,74.828,2.984,6.76
101,Thymelicus sylvestris,Buckinghamshire,VC,8,1936,male,12.501,55.72,2.095,5.91
88,Erynnis tages,Hertfordshire,VC,5,1938,NA,12.337,62.056,2.083,5.163
89,Erynnis tages,Devon,UA,5,1938,NA,12.04,56.446,1.98,4.165
6,Pyrgus malvae,Hertfordshire,VC,4,1938,NA,10.833,42.134,2.023,4.493
18,Pyrgus malvae,Hertfordshire,VC,5,1938,NA,10.674,41.855,2.059,5.174
27,Pyrgus malvae,Hertfordshire,VC,4,1938,NA,10.746,43.673,2.113,4.591
73,Hesperia comma,Hertfordshire,VC,8,1940,male,13.775,65.633,2.221,4.96
74,Hesperia comma,Hertfordshire,VC,8,1940,male,14.25,61.293,2.237,5.414
76,Hesperia comma,Hertfordshire,VC,8,1940,female,14.78,74.479,4.077,5.462
77,Hesperia comma,Hertfordshire,VC,8,1940,female,14.207,71.277,3.405,6.483
28,Pyrgus malvae,Devon,UA,6,1941,NA,11.669,51.793,2.333,4.739
4,Erynnis tages,Kent,UA,6,1942,NA,11.869,52.539,2.341,3.546
23,Pyrgus malvae,Hampshire,UA,NA,1943,NA,11.463,49.201,2.479,4.737
64,Thymelicus sylvestris,Kent,UA,7,1945,female,13.203,62.323,2.495,6.392
91,Pyrgus malvae,East Sussex,VC,6,1946,NA,11.085,48.08,1.985,5.215
